'US30','US500','USTech100','SmallCap2000','S&P500VIX','DAX','CAC40','FTSE100','EuroStoxx50','FTSEMIB','SMI','IBEX35','ATX','WIG20','AEX','iBovespa','Nikkei225','TOPIX','HangSeng','ChinaH-Shares','CSI300','ChinaA50','S&P/ASX200','SingaporeMSCI','BankNIFTY','KOSPI200','SGXFTSETaiwanF','SouthAfrica40','TecDAX',Nifty50
0.23,0.38,0.69,0.59,-1.36,0.76,0.09,0.71,1.62,1.0,1.04,0.82,1.43,2.0,1.41,-1.27,-0.51,0.08,-0.08,0.12,-0.82,0.09,0.7,-0.76,-0.04,1.97,0.82,0.13,0.9,-2.14
0.24,0.39,0.69,0.61,-1.46,0.8,0.12,0.72,1.65,1.01,1.04,0.85,1.43,2.0,1.44,-1.27,-0.47,0.08,-0.08,0.11,-0.82,0.09,0.7,-0.76,-0.03,1.97,0.82,0.17,0.91,-2.14
0.24,0.38,0.68,0.6,-1.46,0.77,0.11,0.71,1.62,0.99,1.02,0.84,1.43,2.05,1.44,-1.27,-0.49,0.08,-0.09,0.12,-0.82,0.08,0.69,-0.77,-0.03,1.97,0.82,0.17,0.92,-2.14
0.23,0.38,0.68,0.59,-1.36,0.77,0.1,0.7,1.62,1.0,1.01,0.8,1.43,2.0,1.42,-1.27,-0.49,0.08,-0.09,0.11,-0.82,0.08,0.68,-0.77,-0.03,1.97,0.82,0.17,0.94,-2.14
0.23,0.38,0.67,0.58,-1.07,0.76,0.1,0.7,1.62,1.01,1.02,0.83,1.43,2.05,1.43,-1.27,-0.49,0.08,-0.1,0.11,-0.82,0.08,0.68,-0.77,-0.03,1.97,0.82,0.2,0.94,-2.14
0.24,0.38,0.67,0.58,-1.21,0.76,0.11,0.7,1.62,0.99,1.02,0.79,1.43,2.0,1.44,-1.27,-0.49,0.08,-0.1,0.12,-0.82,0.08,0.68,-0.77,-0.03,1.97,0.82,0.19,0.92,-2.14
0.22,0.38,0.67,0.57,-1.21,0.76,0.1,0.7,1.62,1.01,1.01,0.8,1.43,1.95,1.44,-1.27,-0.51,0.08,-0.1,0.16,-0.82,0.08,0.68,-0.77,-0.02,1.97,0.82,0.19,0.96,-2.14
0.23,0.4,0.76,0.6,-1.36,0.79,0.14,0.72,1.67,1.03,1.0,0.78,1.43,2.0,1.46,-1.27,-0.48,0.08,-0.06,0.17,-0.82,0.1,0.7,-0.77,0.01,1.97,0.82,0.2,0.94,-2.14
0.22,0.38,0.73,0.58,-1.07,0.77,0.13,0.7,1.62,1.01,0.99,0.77,1.43,2.0,1.44,-1.27,-0.48,0.08,-0.09,0.17,-0.82,0.09,0.71,-0.76,-0.02,1.97,0.82,0.2,0.93,-2.14
0.21,0.38,0.72,0.55,-1.12,0.76,0.1,0.69,1.62,1.03,0.99,0.75,1.43,1.95,1.43,-1.27,-0.51,0.08,-0.08,0.19,-0.82,0.08,0.7,-0.77,-0.02,1.97,0.82,0.2,0.91,-2.14
0.21,0.37,0.68,0.54,-1.21,0.76,0.14,0.7,1.62,1.04,0.99,0.76,1.43,1.93,1.46,-1.27,-0.49,0.08,-0.09,0.18,-0.82,0.08,0.71,-0.77,-0.02,1.97,0.82,0.2,0.92,-2.14
0.21,0.37,0.69,0.54,-1.12,0.75,0.13,0.7,1.62,1.03,0.99,0.78,1.43,1.95,1.46,-1.27,-0.51,0.08,-0.08,0.16,-0.82,0.09,0.71,-0.77,-0.02,1.97,0.82,0.2,0.9,-2.14
0.21,0.37,0.71,0.55,-1.21,0.77,0.13,0.7,1.62,1.03,0.99,0.76,1.43,1.95,1.45,-1.27,-0.49,0.08,-0.08,0.18,-0.82,0.09,0.71,-0.76,-0.01,1.97,0.82,0.2,0.92,-2.14
0.22,0.37,0.7,0.54,-1.12,0.79,0.14,0.7,1.67,1.04,0.99,0.77,1.43,2.0,1.45,-1.27,-0.48,0.08,-0.08,0.17,-0.82,0.09,0.71,-0.76,-0.01,1.97,0.82,0.2,0.93,-2.16
0.21,0.36,0.67,0.52,-1.12,0.77,0.14,0.7,1.62,1.05,0.99,0.77,1.43,2.0,1.43,-1.27,-0.49,0.08,-0.09,0.18,-0.82,0.09,0.72,-0.77,-0.02,1.97,0.82,0.2,0.95,-2.14
0.21,0.35,0.67,0.51,-1.12,0.77,0.13,0.69,1.62,1.05,1.01,0.75,1.43,1.95,1.45,-1.27,-0.49,0.08,-0.09,0.18,-0.82,0.09,0.71,-0.77,-0.01,1.97,0.82,0.2,0.95,-2.16
