'MAY4','DowJones','S&P500','Nasdaq','SmallCap2000','S&P500VIX','S&P/TSX','Bovespa','S&P/BMVIPC','DAX','FTSE100','CAC40','EuroStoxx50','AEX','IBEX35','FTSEMIB','SMI','PSI20','BEL20','ATX','OMXS30','OMXC25','MOEX','RTSI','WIG20','BudapestSE','BIST100','TA35','TadawulAllShare','Nikkei225','S&P/ASX200','DJNewZealand','Shanghai','SZSEComponent','ChinaA50','DJShanghai','HangSeng','TaiwanWeighted','SET','KOSPI','IDXComposite','BSESensex','PSEiComposite','Karachi100','HNX30','Nifty50',Nifty50
0,0.7,0.27,-0.48,0.49,-1.61,0.55,0.27,1.02,0.66,0.12,0.61,0.64,0.65,0.89,1.15,0.88,1.59,0.07,0.76,0.66,0.17,-0.76,-1.7,-0.64,-0.21,1.67,0.85,-0.54,-0.83,0.42,0.22,-0.81,0.0,0.0,0.0,0.47,-2.81,-0.46,-0.44,0.07,-0.13,0.0,-0.42,1.36,0.02,0.3
0,0.06,-0.69,-1.88,-2.02,6.39,-0.13,-1.26,-0.35,-2.38,-0.59,-0.89,-1.87,-2.13,-0.62,-1.76,-1.33,-1.67,-1.61,-0.43,-1.66,-1.97,0.94,1.18,-1.62,-0.21,-0.34,-0.74,0.09,-0.83,0.69,-0.95,-0.81,-0.18,0.0,0.0,0.94,0.16,-0.46,0.64,0.33,-0.95,-0.16,1.11,-3.26,-0.94,0.7
0,0.29,0.07,-0.37,-0.37,4.59,0.64,1.57,0.15,2.12,1.68,1.4,1.99,2.46,1.56,2.03,1.26,0.93,1.5,2.31,2.78,2.1,1.85,2.2,2.16,-0.21,0.27,0.52,-0.65,1.89,-0.36,-0.66,-0.23,-1.85,-1.37,-0.38,0.02,0.89,0.3,0.38,-0.1,0.88,-0.26,0.85,-3.26,0.84,0.4
0,0.66,0.74,0.88,1.27,-9.24,0.94,1.77,0.64,1.34,0.76,0.45,0.87,0.84,0.86,0.48,0.56,1.13,0.66,0.63,0.6,1.66,0.67,1.73,2.47,-0.69,0.95,0.5,-0.01,0.65,0.81,-0.54,0.06,0.18,-0.57,-0.01,-0.47,-0.25,-0.03,1.38,0.64,0.52,0.94,0.51,-0.68,0.63,0.7
0,-0.1,-1.04,-2.55,-2.41,17.8,-0.57,-0.11,1.26,0.02,-0.08,0.01,-0.27,-0.91,0.94,0.78,-0.45,0.54,0.01,1.37,0.22,-0.38,0.33,-0.43,0.88,0.96,1.36,-0.46,0.92,-3.05,-1.1,-0.95,-0.46,-0.78,0.3,-0.43,-2.33,-2.47,-0.39,-1.39,-0.69,0.6,-0.26,0.0,0.36,0.8,-1
0,-1.36,-0.87,-0.09,-0.26,11.09,-0.45,0.87,-0.42,-1.82,-2.47,-1.86,-1.92,-2.24,-1.72,-1.64,-1.21,-1.82,-1.14,-0.74,-3.15,-2.63,-1.16,-1.16,-0.25,0.96,-1.1,-1.56,0.92,-0.73,-0.57,0.19,-0.01,-0.01,0.15,-0.02,0.2,-3.94,-0.27,-1.23,-0.63,-0.69,-1.06,0.0,0.36,-0.61,-0.2
0,1.29,1.22,0.72,1.82,-16.17,0.15,0.83,0.17,0.33,-0.59,0.14,0.16,-0.08,-0.46,0.14,0.41,0.2,0.33,-0.16,0.55,-0.45,-0.46,-0.07,-0.1,-0.43,-0.24,1.07,0.92,1.92,0.9,-0.95,1.33,0.92,1.76,1.46,0.87,1.05,0.62,0.9,-0.63,0.0,-2.33,0.0,1.76,-1.04,0.35
0,1.06,1.49,2.32,2.38,-18.68,1.21,0.97,0.8,1.43,1.15,1.54,1.64,1.31,2.0,1.14,0.79,1.62,0.85,1.82,1.91,-0.45,0.01,0.13,0.17,1.01,-0.24,1.07,0.92,2.32,0.45,-1.09,1.77,2.09,2.49,1.92,1.06,1.0,0.09,1.0,-0.63,0.09,0.0,0.0,2.68,-0.13,0.45
0,-0.16,-0.25,-0.38,0.07,4.84,0.56,0.87,0.31,-0.13,-0.15,-0.28,-0.26,-0.02,0.11,0.39,0.13,0.89,0.14,0.18,-0.78,1.4,0.06,0.16,1.71,0.95,0.9,1.07,0.71,2.16,0.52,-0.24,0.03,-0.56,-0.28,-0.01,1.41,4.14,0.72,1.16,-0.49,1.74,-0.86,1.38,0.45,1.67,1
0,-0.78,-0.85,-0.56,-0.2,8.22,0.17,0.03,0.85,-0.07,0.02,-0.22,-0.04,0.26,0.31,0.07,0.06,0.7,0.05,0.5,0.86,0.71,1.33,1.48,0.38,0.95,0.37,1.21,0.26,-1.63,-1.88,-0.79,-0.43,0.37,-0.15,-0.48,1.58,-0.26,0.0,1.23,-0.32,1.24,0.0,0.41,0.45,1.24,-0.3
0,-0.48,-0.29,-0.03,-0.93,3.94,-0.46,-0.28,-0.82,-1.77,-1.19,-1.43,-1.71,-1.6,-1.23,-1.58,-0.87,-1.11,-1.3,-1.39,-2.14,-0.64,-1.44,-1.36,-1.0,-1.66,0.37,-0.57,-0.49,-0.04,0.91,1.42,-0.46,0.17,-0.14,-0.51,-0.94,-0.68,0.05,-0.59,0.51,-0.58,-0.45,-0.65,0.37,-0.52,0.1
