'MAY4','US30','US500','USTech100','SmallCap2000','S&P500VIX','DAX','CAC40','FTSE100','EuroStoxx50','FTSEMIB','SMI','IBEX35','ATX','WIG20','AEX','iBovespa','Nikkei225','TOPIX','HangSeng','ChinaH-Shares','CSI300','ChinaA50','S&P/ASX200','SingaporeMSCI','BankNIFTY','KOSPI200','SGXFTSETaiwanF','SouthAfrica40','TecDAX','Nifty50',Nifty50
0,0.01,-0.1,-0.29,-0.14,-0.32,-0.61,0.23,0.78,-0.23,-0.15,-0.29,0.75,0.97,-0.39,-0.39,0.45,-0.05,0.08,0.32,0.83,1.3,-0.01,0.38,0.06,-0.67,0.82,-0.13,0.59,-1.5,-1.02,0.7
0,0.29,0.38,0.59,0.66,-1.55,0.76,0.19,0.71,1.62,0.99,1.11,0.95,1.55,1.45,1.35,-1.27,-0.51,0.08,-0.18,-0.23,-0.82,0.1,0.78,-0.7,1.38,0.82,0.19,0.76,-2.08,-0.36,0.4
0,-0.01,-0.01,0.08,0.08,0.46,-0.26,-0.28,-0.2,-0.23,-0.06,-0.37,-0.65,0.49,0.49,-0.58,0.42,0.71,0.76,0.2,0.09,-0.82,-0.56,-0.83,0.61,-0.08,0.53,0.1,-0.69,-1.41,0.53,0.7
0,0.3,0.07,-0.28,-0.42,0.76,-0.13,-0.04,0.02,-0.15,0.28,-0.48,0.48,1.14,1.72,-0.37,1.87,0.39,0.83,-0.5,-0.55,-1.24,-0.69,0.82,-1.01,0.92,1.6,-0.13,0.54,-0.92,0.83,-1
0,-0.42,-0.7,-1.34,-1.0,4.97,-1.56,-1.97,-2.14,-1.43,-1.62,-0.95,-1.36,-1.47,-0.95,-2.44,-0.36,-3.12,-1.57,-2.14,-2.16,-0.39,0.82,-0.97,-1.68,-0.98,-1.86,-0.57,-1.21,-2.92,-0.73,-0.2
0,-0.35,-0.41,-0.57,-1.09,5.0,0.03,-0.07,0.7,-0.18,-0.05,0.05,0.1,-0.27,-0.76,-0.16,0.74,-1.76,-1.2,0.6,0.87,-0.39,0.76,0.16,-0.79,-1.3,-1.72,-0.61,0.77,-0.61,-1.12,0.35
0,1.22,1.61,2.29,2.64,-15.97,1.43,2.16,1.63,1.97,1.77,1.37,2.25,2.08,-0.14,1.81,0.86,3.0,1.35,2.08,0.91,2.55,3.31,0.34,1.28,-0.98,1.14,1.17,0.87,1.39,0.66,0.45
0,-0.24,-0.2,-0.25,-0.45,2.55,-0.04,-0.56,-0.79,-0.15,0.26,-0.02,-0.28,-0.25,1.54,-0.17,0.86,-1.8,-0.75,-0.09,1.01,2.55,0.94,-0.57,0.16,3.94,-0.42,0.76,0.34,0.74,1.59,1
0,0.16,0.28,0.74,0.29,-2.64,0.17,-0.25,0.31,0.23,0.6,-0.15,-0.04,0.94,0.61,0.4,0.92,1.97,1.45,1.25,1.04,1.52,0.32,0.1,2.57,1.33,1.15,0.47,0.43,-0.46,1.3,-0.3
0,-0.47,-0.62,-1.04,-0.59,5.0,-0.78,-1.23,-0.95,-0.65,-0.81,-0.25,-0.78,0.0,-0.61,-1.2,-0.05,-1.88,-0.03,1.11,0.14,1.52,-0.51,-0.79,-1.56,-0.65,1.15,-0.49,-1.46,-1.33,-0.37,0.1
0,-0.61,-0.58,-0.54,-0.87,1.98,-0.34,-0.23,-0.11,-0.23,-0.19,-0.2,-0.83,0.0,-0.62,0.1,-0.01,-0.34,-0.29,-0.71,-0.34,-0.26,0.41,0.56,0.0,-0.98,-0.35,-0.37,-0.12,0.0,-0.8,0.55
0,0.26,0.25,0.27,0.44,-0.56,0.24,-0.06,-0.09,0.38,0.62,0.15,0.33,0.0,0.47,0.24,-0.08,0.9,0.47,0.3,0.69,-0.26,-1.19,-0.33,0.5,3.94,0.05,-0.02,0.62,0.07,1.9,0.2
